127.0.0.1 - - [14/Oct/2023:09:12:19 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Oct/2023:09:12:20 +0530] "GET /sdCommunity/index.jsp HTTP/1.1" 200 5461
0:0:0:0:0:0:0:1 - - [14/Oct/2023:09:12:20 +0530] "GET /sdCommunity/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:09:12:20 +0530] "GET /sdCommunity/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:09:12:20 +0530] "GET /sdCommunity/img/Idea.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:09:12:20 +0530] "GET /sdCommunity/css/img/bg-stars-1.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:09:12:20 +0530] "GET /sdCommunity/img/worldrotate.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:09:12:20 +0530] "GET /sdCommunity/css/img/sn2..png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:09:12:36 +0530] "GET /sdCommunity/Login.jsp HTTP/1.1" 200 2144
0:0:0:0:0:0:0:1 - - [14/Oct/2023:09:12:36 +0530] "GET /sdCommunity/logincss/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:09:12:36 +0530] "GET /sdCommunity/logincss/img/socialNetwork.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:09:12:36 +0530] "GET /sdCommunity/logincss/img/bg-stars-1.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:09:12:39 +0530] "GET /sdCommunity/LoginServlet.jsp?email=ajkkalappatt%40gmail.com&password=Ajk%40123 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:09:12:39 +0530] "GET /sdCommunity/UserHome.jsp HTTP/1.1" 200 25506
0:0:0:0:0:0:0:1 - - [14/Oct/2023:09:12:39 +0530] "GET /sdCommunity/homecss/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:09:12:39 +0530] "GET /sdCommunity/image?id=1 HTTP/1.1" 200 27389
0:0:0:0:0:0:0:1 - - [14/Oct/2023:09:12:39 +0530] "GET /sdCommunity/poimg?id=14 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Oct/2023:09:12:40 +0530] "GET /sdCommunity/poimg?id=10 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Oct/2023:09:12:40 +0530] "GET /sdCommunity/image?id=2 HTTP/1.1" 200 21005
0:0:0:0:0:0:0:1 - - [14/Oct/2023:09:12:40 +0530] "GET /sdCommunity/homecss/img/bg-stars-1.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:09:12:40 +0530] "GET /sdCommunity/image?id=5 HTTP/1.1" 200 41788
0:0:0:0:0:0:0:1 - - [14/Oct/2023:09:12:40 +0530] "GET /sdCommunity/image?id=8 HTTP/1.1" 200 9436
0:0:0:0:0:0:0:1 - - [14/Oct/2023:09:12:40 +0530] "GET /sdCommunity/poimg?id=8 HTTP/1.1" 200 34375
0:0:0:0:0:0:0:1 - - [14/Oct/2023:09:12:40 +0530] "GET /sdCommunity/poimg?id=11 HTTP/1.1" 200 8540
0:0:0:0:0:0:0:1 - - [14/Oct/2023:09:12:40 +0530] "GET /sdCommunity/poimg?id=6 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Oct/2023:09:12:40 +0530] "GET /sdCommunity/image?id=4 HTTP/1.1" 200 54768
0:0:0:0:0:0:0:1 - - [14/Oct/2023:09:12:40 +0530] "GET /sdCommunity/poimg?id=7 HTTP/1.1" 200 37555
0:0:0:0:0:0:0:1 - - [14/Oct/2023:09:12:40 +0530] "GET /sdCommunity/poimg?id=4 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Oct/2023:09:12:40 +0530] "GET /sdCommunity/poimg?id=3 HTTP/1.1" 200 8081
0:0:0:0:0:0:0:1 - - [14/Oct/2023:09:12:40 +0530] "GET /sdCommunity/image?id=6 HTTP/1.1" 200 57542
0:0:0:0:0:0:0:1 - - [14/Oct/2023:09:12:40 +0530] "GET /sdCommunity/image?id=7 HTTP/1.1" 200 21005
0:0:0:0:0:0:0:1 - - [14/Oct/2023:09:12:40 +0530] "GET /sdCommunity/poimg?id=1 HTTP/1.1" 200 21005
0:0:0:0:0:0:0:1 - - [14/Oct/2023:09:12:50 +0530] "GET /sdCommunity/userViewPost.jsp?id=1 HTTP/1.1" 200 21333
0:0:0:0:0:0:0:1 - - [14/Oct/2023:09:12:51 +0530] "GET /sdCommunity/image?id=1 HTTP/1.1" 200 27389
